TMHC,2013,Capital Goods,Homebuilding
TPH,2013,Capital Goods,Homebuilding
UCP,2013,Capital Goods,Homebuilding
VEDL,2013,Capital Goods,Metal Fabrications
VJET,2013,Capital Goods,Industrial Machinery/Components
WCIC,2013,Capital Goods,Homebuilding
MUSA,2013,Consumer Durables,Automotive Aftermarket
ABEV,2013,Consumer Non-Durables,Beverages (Production/Distribution)
COTY,2013,Consumer Non-Durables,Package Goods/Cosmetics
PF,2013,Consumer Non-Durables,Packaged Foods
WBAI,2013,Consumer Services,Services-Misc. Amusement & Recreation
ALLE,2013,Consumer Services,Diversified Commercial Services
AMC,2013,Consumer Services,Movies/Entertainment
AMH,2013,Consumer Services,Real Estate Investment Trusts
ARMK,2013,Consumer Services,Restaurants
AHP,2013,Consumer Services,Real Estate Investment Trusts
BCC,2013,Consumer Services,RETAIL: Building Materials
BRX,2013,Consumer Services,Real Estate Investment Trusts
BURL,2013,Consumer Services,Department/Specialty Retail Stores
CTT,2013,Consumer Services,Real Estate Investment Trusts
CHGG,2013,Consumer Services,Other Consumer Services
CHMI,2013,Consumer Services,Real Estate Investment Trusts
MYCC,2013,Consumer Services,Hotels/Resorts
CXP,2013,Consumer Services,Real Estate Investment Trusts
TCS,2013,Consumer Services,Home Furnishings
EARN,2013,Consumer Services,Real Estate Investment Trusts
ESRT,2013,Consumer Services,Real Estate Investment Trusts
EROS,2013,Consumer Services,Movies/Entertainment
STAY,2013,Consumer Services,Hotels/Resorts
OAKS,2013,Consumer Services,Real Estate Investment Trusts
HASI,2013,Consumer Services,Real Estate Investment Trusts
HLT,2013,Consumer Services,Hotels/Resorts
I,2013,Consumer Services,Telecommunications Equipment
KNOP,2013,Consumer Services,Marine Transportation
LITB,2013,Consumer Services,Catalog/Specialty Distribution
ORC,2013,Consumer Services,Real Estate Investment Trusts
DOC,2013,Consumer Services,Real Estate Investment Trusts
QTS,2013,Consumer Services,Real Estate Investment Trusts
REXR,2013,Consumer Services,Real Estate Investment Trusts
SEAS,2013,Consumer Services,Services-Misc. Amusement & Recreation
SRC,2013,Consumer Services,Building operators
SLD,2013,Consumer Services,Real Estate Investment Trusts
VNCE,2013,Consumer Services,Clothing/Shoe/Accessory Stores
AR,2013,Energy,Oil & Gas Production
ARCX,2013,Energy,Oil Refining/Marketing
CVRR,2013,Energy,Integrated oil Companies
FI,2013,Energy,Oilfield Services/Equipment
JONE,2013,Energy,Oil & Gas Production
PSXP,2013,Energy,Natural Gas Distribution
PAGP,2013,Energy,Natural Gas Distribution
SRLP,2013,Energy,Oil Refining/Marketing
VLP,2013,Energy,Natural Gas Distribution
WNRL,2013,Energy,Natural Gas Distribution
WPT,2013,Energy,Oil Refining/Marketing
